Node Number	Directional Heat Flux (W/m²)
6298	-6.038e-007
6299	-6.8301e-007
6300	-7.3472e-007
6301	-7.8717e-007
6302	-1.3608e-006
6303	-2.3454e-006
6304	-6.7656e-007
6305	-1.3239e-006
6306	-1.41e-006
6307	-9.8465e-007
6308	-8.2596e-007
6309	4.7462e-006
6310	5.9362e-006
6311	1.8522e-007
6312	-2.124e-007
6313	-3.4121e-007
6314	-3.4644e-008
6315	-1.76e-007
6316	-1.6948e-007
6317	-1.8567e-007
6318	1.033e-007
6319	-2.0286e-007
6320	3.7126e-008
6321	-1.4785e-007
6322	-1.2463e-007
6323	-1.0532e-007
6324	-6.2254e-007
6325	-1.4347e-007
6326	-9.1763e-008
6327	-2.689e-007
6328	-1.4751e-007
6329	1.639e-008
6330	-2.2597e-007
6331	-2.8254e-007
6332	-2.4217e-007
6333	-2.8114e-007
6334	-2.8006e-007
6335	-2.756e-007
6336	-2.3072e-007
6337	-1.7451e-007
6338	-1.7058e-007
6339	-2.4164e-007
6340	-4.5755e-007
6341	-5.5028e-007
6342	-8.1785e-008
6343	-3.8071e-007
6344	-3.7931e-007
6345	-3.7824e-007
6346	-3.2415e-008
6347	-7.8345e-007
6348	-3.4926e-007
6349	-3.5669e-007
6350	-3.9334e-007
6351	-3.9279e-007
6352	3.842e-007
6353	4.6498e-007
6354	2.5539e-007
6355	4.5755e-007
6356	4.206e-007
6357	4.2712e-007
6358	4.209e-007
6359	4.2145e-007
