Node Number	Total Deformation (m)
6264	1.602e-008
6265	2.0327e-008
6266	2.0351e-008
6267	2.0548e-008
6268	2.0415e-008
6269	2.0223e-008
6270	2.045e-008
6271	2.0248e-008
6272	2.0091e-008
6273	2.0106e-008
6274	2.0407e-008
6275	2.0217e-008
6276	2.0242e-008
6277	2.0097e-008
6278	1.4901e-008
6279	1.4936e-008
6280	1.4976e-008
6281	1.4883e-008
6282	1.4911e-008
6283	1.4912e-008
6284	1.496e-008
6285	1.5261e-008
6286	1.5739e-008
6287	1.5599e-008
6288	1.5357e-008
6289	1.5705e-008
6290	1.5593e-008
6291	1.5754e-008
6292	1.7362e-008
6293	1.6384e-008
6294	1.7167e-008
6295	1.6958e-008
6296	1.6569e-008
6297	1.6296e-008
6298	1.7102e-008
6299	1.6635e-008
6300	1.6947e-008
6301	1.8647e-008
6302	1.8041e-008
6303	1.8967e-008
6304	1.9018e-008
6305	1.8729e-008
6306	1.8263e-008
6307	1.8515e-008
6308	1.8808e-008
6309	1.4929e-008
6310	1.4922e-008
6311	2.2639e-008
6312	2.2371e-008
6313	2.2945e-008
6314	2.2728e-008
6315	2.2746e-008
6316	2.2275e-008
6317	2.2716e-008
6318	2.192e-008
6319	2.168e-008
6320	2.2023e-008
6321	2.2273e-008
6322	2.1945e-008
6323	2.2071e-008
6324	2.116e-008
6325	2.1409e-008
6326	2.1877e-008
6327	2.1766e-008
6328	2.1549e-008
6329	2.1199e-008
6330	2.1692e-008
6331	2.1449e-008
6332	2.2135e-008
6333	2.1701e-008
6334	2.1668e-008
6335	2.1791e-008
6336	2.1869e-008
6337	2.0975e-008
6338	2.136e-008
6339	2.1217e-008
6340	2.1247e-008
6341	2.1132e-008
6342	2.1084e-008
6343	2.1268e-008
6344	2.153e-008
6345	2.1491e-008
6346	2.264e-008
6347	2.2728e-008
6348	2.2298e-008
6349	2.3012e-008
6350	2.2744e-008
6351	2.2531e-008
6352	2.2349e-008
6353	2.2269e-008
6354	2.291e-008
6355	2.296e-008
6356	2.2724e-008
6357	2.2253e-008
6358	2.2722e-008
6359	2.2508e-008
6360	2.1824e-008
6361	2.1756e-008
6362	2.1429e-008
6363	2.2173e-008
6364	2.188e-008
6365	2.1643e-008
6366	2.0427e-008
6367	2.0297e-008
6368	2.0571e-008
6369	2.0883e-008
6370	2.0703e-008
6371	2.032e-008
6372	2.0136e-008
6373	2.0937e-008
6374	2.0904e-008
6375	2.0362e-008
6376	2.1071e-008
6377	2.062e-008
6378	2.076e-008
6379	2.0762e-008
6380	2.1141e-008
6381	2.0857e-008
6382	2.0948e-008
6383	2.154e-008
6384	2.0657e-008
6385	2.071e-008
6386	2.1394e-008
6387	2.0751e-008
6388	2.0889e-008
6389	2.0919e-008
6390	2.1544e-008
6391	2.1336e-008
6392	2.0993e-008
6393	2.1645e-008
6394	2.1494e-008
6395	2.2226e-008
6396	2.2211e-008
6397	2.1896e-008
6398	2.192e-008
6399	2.1683e-008
6400	2.2481e-008
6401	2.2449e-008
6402	2.2584e-008
6403	2.2629e-008
6404	2.272e-008
6405	2.2704e-008
6406	2.2726e-008
6407	2.241e-008
6408	2.2334e-008
6409	2.2247e-008
6410	2.2518e-008
6411	2.247e-008
6412	2.263e-008
6413	2.2182e-008
6414	2.259e-008
6415	2.2294e-008
6416	2.2376e-008
6417	2.2209e-008
6418	2.2513e-008
6419	2.2436e-008
6420	2.2552e-008
6421	2.2578e-008
